Hotel Name,freewifi,familyrooms,nonsmokingrooms,restaurant,bar,heating,lift,Cuisine1,Cuisine2,Cuisine3
numa I Savi Rooms & Apartments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,Continental
Schulz Hotel Berlin Wall at the East Side Gallery,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Ameican,Vegan
Hotel Klassik Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
Airporthotel Berlin-Adlershof,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Asian,N/A
Casa Camper Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Full English/Irish,Full English/Irish
LOGINN Hotel Berlin Airport,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,Continental
Kurfürst am Kurfürstendamm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,N/A,Vegan
Hotel-Pension Funk am Kurfürstendamm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Continental
Nena Apartments Hermannplatz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Vegan,N/A
Hotel the YARD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,N/A,American
Hotel Sachsenhof,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Asian,N/A
Hotel Villa Konstanz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Vegetarian,N/A
"Wilde Aparthotels by Staycity, Berlin, Checkpoint Charlie",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Full English/Irish
the niu Dwarf,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Continental
"Schillinger-Berlin - dance, sleep, repeat!",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
Old Town Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Continental
Hotel Garni Aaberna,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Ameican,N/A
Hotel Chateau Kurfürstendamm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Full English/Irish
Classik Hotel Alexander Plaza,Yes,Yes,Yes,No,Yes,Yes,Yes,N/A,N/A,Continental
Hotel Grenzfall,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Vegan
"Regent Berlin, an IHG Hotel",Yes,Yes,Yes,Yes,No,Yes,Yes,American,Continental,Continental
SensCity Hotel Berlin Spandau,Yes,Yes,Yes,Yes,No,Yes,Yes,International,Full English/Irish,N/A
the niu Hide,Yes,Yes,Yes,Yes,No,Yes,Yes,Vegan,Continental,Full English/Irish
Seminaris CampusHotel Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Vegan,Continental
ADAPT APARTMENTS BERLIN - Adlershof,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,Continental,Vegan
Solitaire Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,International,Asian,Continental
H24 Berlin Lichtenberg,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,N/A
Hotel Amadeus ROYAL Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,American
aletto Hotel Potsdamer Platz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Full English/Irish,N/A
City Pension Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Vegetarian,N/A
Nena Apartments Metropolpark Berlin - Mitte -Adult Only,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Ameican,Full English/Irish
Victor's Residenz-Hotel Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Continental
LINDEMANN'S,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Full English/Irish,N/A
Hollywood Media Hotel am Kurfürstendamm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,N/A,Continental
Hotel Kiez Pension Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Ameican,N/A
Safestay Berlin Kurfurstendamm,No,Yes,Yes,Yes,No,Yes,Yes,Asian,Continental,Full English/Irish
DORMERO Hotel Berlin Ku'damm,No,Yes,Yes,Yes,No,Yes,Yes,Local,Asian,Continental
Hotel Alter Markt,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Full English/Irish,Vegan
Wil7 Boutique Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
Living Hotel Berlin Mitte,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,N/A,N/A
B&B Hotel Berlin-Charlottenburg,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Full English/Irish
